image_path,label,R_mean,G_mean,B_mean,Gray_mean,hash
../../../PBC_dataset_normal_DIB\basophil\BA_100102.jpg,basophil,224.1479491888583,192.99201101928375,181.52068411386594,201.01073614937252,f24406368058b3be5f7173b55f4523e29476bdf912120ff81f4f663c5e913049
../../../PBC_dataset_normal_DIB\basophil\BA_101381.jpg,basophil,216.8803948576676,185.34746709519436,180.20459136822774,194.1977196204469,5e81b38623baec9b5f6e6a64fefa0d5afe055e73ff2eb6b9c69a9f5ef0b2d0b4
../../../PBC_dataset_normal_DIB\basophil\BA_101611.jpg,basophil,218.369314355678,182.8331573308846,181.4839378634833,193.35081114172024,0e1ea3f0b635f721a31650c0fea1be9bace526178636fa032f93a8991178e973
../../../PBC_dataset_normal_DIB\basophil\BA_102039.jpg,basophil,212.39677073767982,178.22745638200183,180.59002907866545,188.76005509641874,2de531781db2946d4940ed267f53bd1b1e028c54fb862f1d12d3e4a1f6e34d9a
../../../PBC_dataset_normal_DIB\basophil\BA_102750.jpg,basophil,226.3720079583716,194.93816192225282,184.03588919498011,203.14357973676155,22e52477ef7d3c1e67e93ef48b5d95c86727b175a716c8469dc34932ad758ef5
../../../PBC_dataset_normal_DIB\basophil\BA_10387.jpg,basophil,226.8233164983165,191.4178451178451,183.4556550352005,201.19948729721457,a9d1d474ad0c284dac2b4321832069091daaca7542b85a2e89bcd6395d8df7f4
../../../PBC_dataset_normal_DIB\basophil\BA_10622.jpg,basophil,222.51005509641874,189.86890878481788,184.49661003979185,199.10816498316498,d9b2a7495bf2c3796fa070d6589e37cb0a9af548e0ec71f6652801136e59a30d
../../../PBC_dataset_normal_DIB\basophil\BA_107595.jpg,basophil,205.21044536271808,169.62477043158862,175.0656795224977,180.90009182736455,3a3a3039e2c6f9c33a636838b4d9ec7d60c556b46bdacfcb4a8e99d2e8038665
../../../PBC_dataset_normal_DIB\basophil\BA_107876.jpg,basophil,221.05372666054484,188.2038261401898,184.27763238445056,197.64471227425773,24521ec064bb04c908dca2f61d572e4616ea294e369d6051ff13d64eff7b57b7
../../../PBC_dataset_normal_DIB\basophil\BA_111710.jpg,basophil,225.2209136822773,193.11779920416285,185.53197887970614,201.94627333945516,460ca55b882df967656de123855b9c2c684111401277dc5f5250ceca6a4630c1
../../../PBC_dataset_normal_DIB\basophil\BA_112418.jpg,basophil,218.46215182124274,186.63231558004284,181.46514386287114,195.59997704315887,afe51d5f0d73ca15f0b9a41bd4a99ba562d07dd98a7bf67673b7509a28e8be11
../../../PBC_dataset_normal_DIB\basophil\BA_114542.jpg,basophil,222.1820324456688,191.57059993878175,183.5066651362106,199.81346801346803,a20844b4e6ca4d97c6f29db8d67ba0fbf40a9d7e2b6dcf7478720d8663e5364d
../../../PBC_dataset_normal_DIB\basophil\BA_114899.jpg,basophil,220.65034435261708,187.41416437098255,183.14657943067033,196.89681665136212,07bc2e817f5a14f87bd45490c6a427951a82df893e3d2d1d7c54b195bc9a7c45
../../../PBC_dataset_normal_DIB\basophil\BA_115323.jpg,basophil,220.33924089378635,182.33321854912765,182.38288950107133,193.74773492500765,b7f8dd26f96f25bf548f583b92bd445e1c8562ae319bbe2bde0da8714406bb2e
../../../PBC_dataset_normal_DIB\basophil\BA_115777.jpg,basophil,215.4241812059994,186.52913223140496,181.0004897459443,194.53715182124273,d89d26fe973d4863909ac811a5b01ae0fb27b70889d532595955c00423818f98
../../../PBC_dataset_normal_DIB\basophil\BA_116477.jpg,basophil,227.08096112641567,195.60888429752066,185.30425466789103,203.86774563820018,5621d2a744cf9dee8666f2af715d1935fadea97cfef333995a9abea1932ad8cb
../../../PBC_dataset_normal_DIB\basophil\BA_119131.jpg,basophil,210.79984695439242,177.53065503520048,179.08541475359658,187.68721303948575,b9b696f766f86e88253aa59da25b677e43563b7c0e6aee63b880effebb531dfd
../../../PBC_dataset_normal_DIB\basophil\BA_119883.jpg,basophil,220.952318640955,187.82925466789104,181.11854147535965,197.06155494337312,33ed897f87cabd86e0572a084898a9e74219e0272304235f3f436703d187f290
../../../PBC_dataset_normal_DIB\basophil\BA_120278.jpg,basophil,213.56924548515457,180.1905341291705,177.59371747780838,189.92184726048362,cc6172876a4db61e2f42831613b6d835c7b711ebe204db9ec69dfae8c9617ace
../../../PBC_dataset_normal_DIB\basophil\BA_120688.jpg,basophil,214.21284817875727,178.81388123660852,179.19103152739515,189.463689929599,ec1526be9c50bf6600fb867ce3cf25281cbff968f3674a9872be55ec99392507
../../../PBC_dataset_normal_DIB\basophil\BA_121453.jpg,basophil,220.71271808999083,186.98174165901438,180.7891873278237,196.36700336700338,4193bd861becc0fab08f4d9cca7600edd043cf59d2f0a1d4f04a84f2d2fe666b
../../../PBC_dataset_normal_DIB\basophil\BA_121897.jpg,basophil,218.69747474747476,186.58109886746252,181.03396847260484,195.54521732476277,bde3c51b769a504b51de054cc95dc0c14c7a88df891e9b6ce2a0408d5f3acf69
../../../PBC_dataset_normal_DIB\basophil\BA_1223.jpg,basophil,218.87700489745944,183.38340220385675,182.15645087235995,193.8945668809305,faa2bdb9c4361413614092cb0186aba9f59151afa6c8077e11b4db2192b8151c
